code,vol,price
689009.SS,100,27.07
688819.SS,200,27.4
688779.SS,200,6.97
688778.SS,200,39.62
688772.SS,200,18.55
688728.SS,200,18.74
688690.SS,200,24.43
688567.SS,200,15.18
688538.SS,200,2.3
688536.SS,200,122.0
688521.SS,200,43.0
688520.SS,200,50.96
688516.SS,200,85.02
688425.SS,200,3.87
688390.SS,200,136.02
688387.SS,200,6.5
688385.SS,200,33.78
688375.SS,200,69.09
688349.SS,200,25.55
688348.SS,200,123.6
688331.SS,200,57.12
688301.SS,200,288.84
688297.SS,200,34.9
688295.SS,200,28.34
688281.SS,200,118.24
688276.SS,200,53.12
688248.SS,200,23.63
688234.SS,200,60.2
688220.SS,200,57.65
688208.SS,200,21.27
688200.SS,200,97.68
688188.SS,200,255.16
688180.SS,200,38.09
688169.SS,200,282.66
688153.SS,200,54.29
688122.SS,200,43.0
688120.SS,200,184.09
688114.SS,200,80.5
688107.SS,200,32.23
688105.SS,200,28.95
688099.SS,200,53.3
688082.SS,200,94.8
688072.SS,200,197.25
688063.SS,200,110.05
688052.SS,200,142.08
688032.SS,200,278.0
688029.SS,200,87.06
688006.SS,200,22.6
688005.SS,200,36.88
688002.SS,200,37.02
605358.SS,100,25.05
603939.SS,100,40.18
603927.SS,100,26.69
603893.SS,100,55.48
603885.SS,100,12.08
603883.SS,100,30.64
603882.SS,100,53.5
603868.SS,100,47.88
603866.SS,100,7.62
603858.SS,100,16.36
603826.SS,100,52.69
603816.SS,100,34.67
603786.SS,100,65.21
603737.SS,100,43.07
603712.SS,100,29.12
603707.SS,100,13.63
603688.SS,100,87.08
603658.SS,100,54.43
603650.SS,100,29.68
603606.SS,100,39.78
603596.SS,100,59.57
603589.SS,100,41.75
603568.SS,100,17.01
603529.SS,100,25.3
603517.SS,100,24.66
603456.SS,100,21.68
603444.SS,100,215.22
603379.SS,100,32.19
603355.SS,100,20.93
603338.SS,100,52.07
603317.SS,100,12.9
603305.SS,100,17.0
603267.SS,100,43.99
603233.SS,100,24.88
603228.SS,100,20.37
603225.SS,100,13.13
603218.SS,100,11.45
603185.SS,100,31.56
603160.SS,100,61.59
603156.SS,100,22.01
603127.SS,100,21.51
603077.SS,100,2.34
603056.SS,100,14.62
603026.SS,100,42.62
603000.SS,100,24.51
601997.SS,100,5.27
601992.SS,100,1.91
601991.SS,100,2.55
601990.SS,100,7.64
601966.SS,100,20.04
601958.SS,100,9.57
601933.SS,100,2.75
601928.SS,100,8.99
601880.SS,100,1.44
601866.SS,100,2.43
601828.SS,100,3.84
601778.SS,100,3.57
601717.SS,100,13.5
601696.SS,100,9.68
601666.SS,100,11.13
601665.SS,100,3.96
601636.SS,100,6.57
601611.SS,100,6.84
601608.SS,100,3.81
601598.SS,100,5.29
601577.SS,100,6.99
601568.SS,100,4.83
601555.SS,100,6.83
601456.SS,100,9.93
601298.SS,100,6.86
601233.SS,100,13.47
601231.SS,100,13.86
601228.SS,100,3.15
601216.SS,100,3.71
601198.SS,100,7.78
601187.SS,100,5.19
601179.SS,100,5.09
601168.SS,100,14.55
601162.SS,100,2.95
601158.SS,100,5.98
601156.SS,100,14.56
601139.SS,100,6.87
601128.SS,100,6.69
601118.SS,100,4.12
601108.SS,100,7.37
601106.SS,100,2.79
601098.SS,100,10.62
601077.SS,100,4.23
601061.SS,100,7.34
601058.SS,100,12.05
601016.SS,100,2.99
601000.SS,100,3.96
600998.SS,100,7.18
600995.SS,100,9.26
600988.SS,100,14.22
600985.SS,100,17.62
600977.SS,100,12.02
600970.SS,100,9.84
600968.SS,100,2.88
600967.SS,100,7.91
600959.SS,100,3.0
600956.SS,100,8.26
600928.SS,100,3.36
600927.SS,100,14.78
600925.SS,100,5.47
600909.SS,100,4.57
600906.SS,100,7.13
600901.SS,100,5.03
600895.SS,100,17.68
600885.SS,100,26.38
600884.SS,100,12.63
600879.SS,100,7.13
600873.SS,100,10.17
600871.SS,100,1.81
600867.SS,100,10.16
600863.SS,100,4.09
600862.SS,100,19.57
600859.SS,100,15.69
600848.SS,100,9.88
600839.SS,100,4.82
600827.SS,100,9.4
600820.SS,100,5.93
600808.SS,100,2.77
600801.SS,100,12.5
600765.SS,100,15.89
600764.SS,100,23.92
600755.SS,100,7.02
600739.SS,100,11.27
600737.SS,100,8.22
600707.SS,100,6.5
600704.SS,100,4.35
600699.SS,100,16.18
600673.SS,100,6.75
600663.SS,100,8.47
600655.SS,100,6.25
600642.SS,100,6.94
600637.SS,100,7.31
600598.SS,100,11.8
600597.SS,100,8.54
600583.SS,100,5.99
600582.SS,100,5.69
600580.SS,100,11.12
600566.SS,100,32.62
600563.SS,100,90.2
600549.SS,100,16.92
600546.SS,100,17.7
600536.SS,100,29.03
600535.SS,100,16.2
600529.SS,100,26.83
600528.SS,100,7.31
600521.SS,100,13.71
600517.SS,100,4.67
600516.SS,100,5.0
600511.SS,100,29.55
600500.SS,100,4.2
600499.SS,100,11.57
600498.SS,100,14.71
600497.SS,100,4.97
600486.SS,100,59.22
600482.SS,100,17.74
600481.SS,100,8.13
600435.SS,100,10.25
600418.SS,100,14.07
600416.SS,100,14.05
600415.SS,100,7.24
600399.SS,100,8.21
600398.SS,100,7.57
600392.SS,100,9.54
600390.SS,100,4.63
600380.SS,100,12.0
600378.SS,100,27.46
600377.SS,100,11.19
600373.SS,100,13.13
600369.SS,100,3.88
600352.SS,100,8.17
600350.SS,100,7.45
600348.SS,100,9.99
600339.SS,100,2.95
600329.SS,100,31.08
600325.SS,100,6.81
600316.SS,100,18.16
600315.SS,100,20.2
600299.SS,100,8.26
